mfcc,labels,label_names
"tensor([[[-1.2224e+02, -2.1454e+02, -1.7887e+02,  ..., -1.7471e+02,
          -1.4366e+02, -1.7174e+02],
         [ 5.1324e+01,  1.3270e+02,  1.1964e+02,  ...,  1.0479e+02,
           1.1281e+02,  9.8372e+01],
         [ 7.4463e+01,  4.2071e+01,  2.3759e+01,  ...,  1.6319e+01,
           2.6568e+01,  4.8387e+01],
         ...,
         [ 4.8830e+00,  1.9493e+00, -5.8134e+00,  ..., -1.4035e+00,
          -4.2300e-02,  1.8365e+00],
         [ 3.7184e+00, -7.7442e+00, -2.3420e+00,  ...,  3.2183e+00,
           4.3349e+00,  1.3732e+00],
         [-2.2221e+00, -1.0381e+01, -5.5121e+00,  ...,  8.7456e+00,
           1.0935e+01,  1.3555e+00]]])","['/m/02bxd', None, None, None, None]","['Didgeridoo', None, None, None, None]"
"tensor([[[121.8208, 122.7612, 126.9822,  ...,  91.7460, 110.3687,  73.2721],
         [ 35.7771,  33.7168,  35.9164,  ...,  45.8649,  37.4956,  49.9428],
         [ -1.0717,  -8.1450,  -2.2824,  ...,  15.2054,   9.7373,  24.8188],
         ...,
         [ -4.4243,  -0.7364,   3.1162,  ...,  -1.0597,   3.9189,  -0.4333],
         [  9.3649,   0.2823,  -1.4108,  ...,  -2.8961,   3.7945,   0.5221],
         [  2.4766,  -2.3191,  -7.2747,  ...,  -7.0767,  -1.4345,   5.0793]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[ -9.5719, -10.7635,  -8.7156,  ...,  71.7729,  65.8720,  67.1514],
         [ 50.0308,  49.1937,  51.2479,  ...,  31.1193,  40.6439,  45.8241],
         [ 33.9445,  23.2717,  25.1820,  ...,  20.9348,   6.2939,   8.3573],
         ...,
         [ -2.5849,   5.0263,   1.7419,  ...,  -0.6899,   1.4986,   6.2376],
         [  4.6329,   2.1474,   2.2781,  ...,  -0.5448,   1.3236,   3.7542],
         [ -2.4636,  -1.7536,  -6.8781,  ...,   4.0009,   4.3238,  -1.3958]]])","[None, None, None, None, '/t/dd00031']","[None, None, None, None, 'Happy music']"
"tensor([[[-1.3572e+02, -1.4429e+02, -1.4915e+02,  ..., -1.1659e+02,
          -1.2089e+02, -1.1071e+02],
         [ 1.9852e+01,  4.1949e+01,  4.3675e+01,  ...,  5.1509e+01,
           5.0293e+01,  3.4135e+01],
         [-1.7712e+01, -9.2624e+00, -2.8827e+00,  ...,  7.7888e+00,
           4.7396e+00, -1.1759e+00],
         ...,
         [ 9.4455e+00,  1.9457e+01,  2.5462e+01,  ...,  1.4471e+01,
           1.5314e+01,  1.1839e+01],
         [-7.4892e+00, -1.4106e+01, -1.1177e+01,  ..., -7.1610e+00,
          -1.1892e+01,  5.1491e-03],
         [ 9.7783e+00,  8.2094e+00,  1.0031e+01,  ..., -8.2628e-01,
          -1.5246e+00,  8.4602e+00]]])","[None, None, None, None, '/t/dd00037']","[None, None, None, None, 'Scary music']"
"tensor([[[  17.7789,   14.5688,    2.0099,  ..., -221.5072, -224.8996,
          -233.2692],
         [  35.0378,   37.8770,   41.2632,  ...,   46.7766,   44.8106,
            49.9433],
         [   9.6424,   16.5330,   25.2281,  ...,   19.6853,   17.7043,
            20.2040],
         ...,
         [   6.5126,    1.9114,   -0.7068,  ...,   -5.9186,   -1.7895,
             4.4231],
         [   1.7964,   -1.7115,    6.2504,  ...,   -3.5079,    0.9685,
             3.5240],
         [   0.9824,   -1.7830,    3.6655,  ...,   -1.9782,    0.9617,
             2.4845]]])","['/m/02bxd', None, None, None, None]","['Didgeridoo', None, None, None, None]"
"tensor([[[ 4.5407e+01,  3.4634e+01,  3.0799e+01,  ...,  5.4792e+01,
           4.3711e+01,  5.1664e+01],
         [ 1.3265e+01,  9.9262e+00,  1.2330e+01,  ...,  1.4096e+01,
           5.9253e+00,  1.0446e+01],
         [ 1.8522e-02, -5.1100e+00, -1.3237e-02,  ...,  1.5462e+01,
           1.0150e+00,  3.4340e+00],
         ...,
         [ 4.7669e+00,  4.7316e+00, -3.5300e+00,  ..., -3.5918e+00,
          -4.0206e+00,  4.3412e+00],
         [-1.1418e+00, -6.4217e+00,  2.6929e+00,  ..., -1.7748e+00,
          -4.6093e+00,  2.4238e+00],
         [-1.0716e+01, -1.3762e+01, -1.2379e+01,  ..., -8.1879e+00,
          -7.5565e+00,  4.3496e+00]]])","[None, None, None, None, '/t/dd00032']","[None, None, None, None, 'Funny music']"
"tensor([[[-2.3679e+02, -2.3357e+02, -2.3208e+02,  ..., -1.1843e+02,
          -1.2342e+02, -9.5518e+01],
         [ 3.4266e+01,  3.9716e+01,  4.0646e+01,  ...,  8.0755e+01,
           8.2969e+01,  7.8106e+01],
         [-3.4888e+01, -2.5609e+01, -2.9308e+01,  ..., -3.1352e+01,
          -2.8474e+01, -3.0287e+01],
         ...,
         [-7.6391e+00, -3.5465e+00, -5.0755e+00,  ...,  8.5005e+00,
           9.3938e+00,  1.5327e+01],
         [ 5.3866e+00,  8.6122e+00,  3.9383e+00,  ..., -3.0000e+00,
          -3.7546e+00, -7.1070e-01],
         [ 1.8167e-01, -4.3082e+00, -6.8711e+00,  ..., -1.9953e+01,
          -2.2861e+01, -1.0533e+01]]])","[None, None, None, None, None]","[None, None, None, None, None]"
"tensor([[[121.1427, 122.3516, 127.1182,  ...,  52.6512,  54.0285,  58.6998],
         [  1.9980,   2.2415,  11.6662,  ...,  67.0849,  62.0369,  60.9139],
         [  6.4991,  -6.2677,   2.4461,  ...,  -4.3295,  -2.5549,   7.7080],
         ...,
         [ -3.2167,  -9.4992,  -9.3401,  ...,  -0.2677,   1.5999,  -0.4913],
         [  0.3856,  -9.9091, -11.2111,  ...,  -2.8217,  -7.4624,  -7.2119],
         [ -7.5627,  -4.1073,  -6.8662,  ...,  -7.6254,  -4.3699,  -3.4435]]])","[None, '/m/06by7', None, None, None]","[None, 'Rock music', None, None, None]"
"tensor([[[ -5.8278,  -6.9236,  -1.6982,  ...,  21.9131,   6.7817,   5.3566],
         [ 54.4783,  54.5219,  50.7411,  ...,  26.9192,  38.2261,  38.2784],
         [ 25.3252,  23.3622,  12.1046,  ...,  -7.0850, -14.5253, -30.9393],
         ...,
         [ 16.2910,  16.5575,  15.4802,  ...,  -3.5064,  -3.1824,  -2.1064],
         [ 11.3153,   2.5577,   0.0724,  ...,  -0.9220,   6.3927,  10.1276],
         [ -3.0140,  -0.4289,   0.5600,  ...,  -1.3259,   8.8576,  12.2104]]])","[None, '/m/02lkt', None, None, None]","[None, 'Electronic music', None, None, None]"
"tensor([[[ 37.0099,  13.6304,   4.2928,  ...,  51.5805,  -0.2598,   8.3401],
         [ 26.4847,  19.3461,  16.8967,  ...,  26.5948,  24.3204,  51.0914],
         [-27.2824, -21.0265, -20.9874,  ...,  -3.0202,   2.6758,  15.5913],
         ...,
         [ -0.9205,  -8.6030,  -2.2762,  ..., -19.1917, -13.6513,  -8.1375],
         [  8.2850,  10.0469,  15.0999,  ...,  -6.3495,  -3.0422,  -4.9523],
         [ 15.9424,  11.0263,  21.9373,  ...,   4.8978,  13.4807,   2.8766]]])","['/m/0fx80y', None, None, None, None]","['Plucked string instrument', None, None, None, None]"
